epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
153,20575.1,0.32662,0.21407,0.87689,0.9674,0.8539,0.91782,0.86338,0.39158,0.37577,0.96492,0.002476,0.002476,0.002476
154,20709.1,0.32631,0.21662,0.87732,0.9632,0.8549,0.9162,0.86168,0.39192,0.37463,0.96521,0.0024265,0.0024265,0.0024265
155,20842.9,0.3275,0.21518,0.8734,0.96314,0.85661,0.91789,0.86389,0.38973,0.37483,0.96413,0.002377,0.002377,0.002377
156,20976.7,0.32773,0.21809,0.878,0.97288,0.84922,0.91659,0.86464,0.38597,0.37536,0.9614,0.0023275,0.0023275,0.0023275
157,21110.4,0.31711,0.20982,0.87132,0.97599,0.84796,0.91665,0.864,0.3879,0.37508,0.96446,0.002278,0.002278,0.002278
158,21244,0.32651,0.21492,0.87908,0.97017,0.85345,0.91647,0.86287,0.38527,0.36988,0.96116,0.0022285,0.0022285,0.0022285
159,21377.5,0.3169,0.2072,0.8718,0.97702,0.84714,0.91752,0.86352,0.38422,0.36677,0.96022,0.002179,0.002179,0.002179
160,21511.1,0.3216,0.20969,0.87237,0.97526,0.84637,0.91605,0.8649,0.38719,0.36777,0.9621,0.0021295,0.0021295,0.0021295
161,21644.6,0.31945,0.20779,0.87305,0.9771,0.8461,0.91451,0.86362,0.38927,0.36832,0.96421,0.00208,0.00208,0.00208
162,21778.1,0.31779,0.20893,0.8718,0.9765,0.84646,0.91398,0.86249,0.39129,0.36579,0.96651,0.0020305,0.0020305,0.0020305
163,21912,0.31552,0.2056,0.87487,0.97628,0.84667,0.91235,0.8597,0.39133,0.36538,0.96687,0.001981,0.001981,0.001981
164,22045.5,0.30899,0.20438,0.86977,0.97757,0.84671,0.91049,0.85762,0.39213,0.36351,0.9671,0.0019315,0.0019315,0.0019315
165,22179.1,0.31226,0.20409,0.87184,0.97774,0.84581,0.91112,0.85678,0.39152,0.36342,0.96727,0.001882,0.001882,0.001882
166,22312.7,0.30484,0.20395,0.86871,0.97847,0.84808,0.91298,0.85744,0.39197,0.36456,0.96696,0.0018325,0.0018325,0.0018325
167,22446.4,0.30484,0.19883,0.86548,0.9774,0.84795,0.91129,0.85661,0.39255,0.36969,0.96651,0.001783,0.001783,0.001783
168,22580.2,0.30776,0.19867,0.87209,0.97613,0.84859,0.91177,0.85778,0.39348,0.37001,0.96665,0.0017335,0.0017335,0.0017335
169,22714.1,0.3062,0.20194,0.8702,0.97537,0.84874,0.91428,0.86001,0.39247,0.36568,0.9658,0.001684,0.001684,0.001684
170,22848,0.301,0.19959,0.86278,0.97527,0.84916,0.91665,0.86184,0.3925,0.36887,0.9661,0.0016345,0.0016345,0.0016345
171,22981.5,0.30704,0.20329,0.86784,0.97571,0.84981,0.91757,0.86385,0.39349,0.36645,0.96912,0.001585,0.001585,0.001585
172,23115.1,0.29617,0.19512,0.86317,0.97441,0.85003,0.91946,0.86574,0.39355,0.3663,0.96945,0.0015355,0.0015355,0.0015355
173,23249.4,0.2949,0.19384,0.86608,0.9613,0.8603,0.92053,0.86714,0.39288,0.37007,0.96854,0.001486,0.001486,0.001486
